    50/149     20.6G   0.04291    0.1278         0    0.1708      1702       640    0.8282    0.8529    0.9159    0.4651   0.08059    0.5927         0
    51/149     20.6G   0.04355    0.1183         0    0.1618      1677       640    0.8369    0.7804    0.8855    0.4044   0.08193    0.5906         0
    52/149     20.6G   0.04232    0.1223         0    0.1647      1571       640    0.8227     0.882    0.9229     0.534    0.0798    0.6303         0
    53/149     20.6G   0.03906    0.1159         0    0.1549      1728       640     0.838    0.8661    0.9219    0.5066   0.08093    0.6295         0
    54/149     20.6G    0.0398    0.1168         0    0.1566      1072       640    0.8214    0.8898    0.9276     0.536    0.0796     0.625         0
    55/149     20.6G   0.03865    0.1202         0    0.1589      2067       640    0.8494    0.8473    0.9211    0.5211   0.07914    0.6407         0
    56/149     20.6G   0.04116    0.1239         0     0.165      1728       640    0.8327    0.8863    0.9311     0.532   0.08009    0.6417         0
    57/149     20.6G   0.04052    0.1219         0    0.1624      2656       640    0.8097    0.8838    0.9184    0.5232   0.07977     0.667         0
    58/149     20.6G    0.0394    0.1083         0    0.1477      1383       640     0.814      0.89    0.9226    0.5204   0.08057    0.6607         0
    59/149     20.6G    0.0384     0.117         0    0.1554      1672       640    0.8176    0.8826     0.923    0.5133   0.07586    0.6422         0
    60/149     20.6G   0.04074    0.1165         0    0.1572      1794       640    0.8076    0.8875    0.9214      0.53   0.07775     0.654         0
    61/149     20.6G   0.03698    0.1168         0    0.1538      1109       640    0.8154    0.8999    0.9283    0.5279   0.07929    0.6392         0
    62/149     20.6G   0.03743    0.1122         0    0.1496      1200       640    0.8249    0.8739    0.9252    0.5337   0.07646    0.6328         0
    63/149     20.6G   0.03726    0.1142         0    0.1515      1449       640    0.8215    0.8733    0.9187    0.5112   0.07972    0.6565         0
    64/149     20.6G   0.03569    0.1171         0    0.1528      1742       640    0.8222    0.8727    0.9194     0.532   0.07451    0.6451         0
    65/149     20.6G   0.03926    0.1104         0    0.1497      1628       640    0.8081     0.885    0.9204    0.5206   0.07445    0.6903         0
    66/149     20.6G    0.0395    0.1164         0    0.1559      1894       640     0.824    0.8517    0.9011    0.4793   0.07914    0.6384         0
    67/149     20.6G   0.03695    0.1138         0    0.1507      1727       640     0.822     0.885    0.9248    0.5396   0.07406    0.6399         0
    68/149     20.6G   0.03572    0.1114         0    0.1471      1541       640    0.7937    0.8832    0.9117    0.5194   0.07486     0.667         0
    69/149     20.6G   0.03767    0.1131         0    0.1507      2105       640    0.8224    0.8677    0.9136     0.529   0.07809    0.6651         0
    70/149     20.6G   0.03627    0.1164         0    0.1526      1293       640    0.8087    0.8943    0.9205    0.5183    0.0786    0.6384         0
    71/149     20.6G   0.03589    0.1174         0    0.1533      1724       640    0.8094    0.9029    0.9248    0.5314    0.0757    0.6384         0
